species,flipper_length_mm,culmen_length_mm,culmen_depth_mm,body_mass_g,island,sex
Gentoo,216.0,50.5,15.2,5000.0,Biscoe,FEMALE
Gentoo,216.0,49.6,15.0,4750.0,Biscoe,MALE
Gentoo,217.0,49.3,15.7,5850.0,Biscoe,MALE
Gentoo,217.0,46.5,14.8,5200.0,Biscoe,FEMALE
Gentoo,217.0,43.6,13.9,4900.0,Biscoe,FEMALE
Gentoo,217.0,46.2,14.1,4375.0,Biscoe,FEMALE
Gentoo,217.0,44.5,15.7,4875.0,Biscoe,.
Gentoo,217.0,46.5,14.4,4900.0,Biscoe,FEMALE
Gentoo,218.0,43.4,14.4,4600.0,Biscoe,FEMALE
Gentoo,218.0,51.3,14.2,5300.0,Biscoe,MALE
Gentoo,218.0,47.5,15.0,4950.0,Biscoe,FEMALE
Gentoo,218.0,50.2,14.3,5700.0,Biscoe,MALE
Gentoo,218.0,50.0,15.2,5700.0,Biscoe,MALE
Gentoo,219.0,46.7,15.3,5200.0,Biscoe,MALE
Gentoo,219.0,48.5,15.0,4850.0,Biscoe,FEMALE
Gentoo,219.0,53.4,15.8,5500.0,Biscoe,MALE
Gentoo,219.0,45.8,14.2,4700.0,Biscoe,FEMALE
Gentoo,219.0,44.4,17.3,5250.0,Biscoe,MALE
Gentoo,220.0,49.1,14.8,5150.0,Biscoe,FEMALE
Gentoo,220.0,45.5,15.0,5000.0,Biscoe,MALE
Gentoo,220.0,50.0,15.3,5550.0,Biscoe,MALE
Gentoo,220.0,48.5,14.1,5300.0,Biscoe,MALE
Gentoo,220.0,48.4,16.3,5400.0,Biscoe,MALE
Gentoo,220.0,51.1,16.3,6000.0,Biscoe,MALE
Gentoo,220.0,43.5,14.2,4700.0,Biscoe,FEMALE
Gentoo,220.0,45.0,15.4,5050.0,Biscoe,MALE
Gentoo,221.0,52.5,15.6,5450.0,Biscoe,MALE
Gentoo,221.0,46.4,15.6,5000.0,Biscoe,MALE
Gentoo,221.0,49.2,15.2,6300.0,Biscoe,MALE
Gentoo,221.0,48.2,15.6,5100.0,Biscoe,MALE
Gentoo,221.0,46.2,14.9,5300.0,Biscoe,MALE
Gentoo,222.0,47.3,15.3,5250.0,Biscoe,MALE
Gentoo,222.0,46.9,14.6,4875.0,Biscoe,FEMALE
Gentoo,222.0,48.7,15.1,5350.0,Biscoe,MALE
Gentoo,222.0,50.5,15.9,5550.0,Biscoe,MALE
Gentoo,222.0,48.8,16.2,6000.0,Biscoe,MALE
Gentoo,222.0,50.4,15.7,5750.0,Biscoe,MALE
Gentoo,223.0,45.2,16.4,5950.0,Biscoe,MALE
Gentoo,223.0,50.7,15.0,5550.0,Biscoe,MALE
Gentoo,224.0,50.0,15.9,5350.0,Biscoe,MALE
Gentoo,224.0,50.4,15.3,5550.0,Biscoe,MALE
Gentoo,224.0,49.5,16.1,5650.0,Biscoe,MALE
Gentoo,225.0,50.1,15.0,5000.0,Biscoe,MALE
Gentoo,225.0,49.6,16.0,5700.0,Biscoe,MALE
Gentoo,225.0,50.5,15.9,5400.0,Biscoe,MALE
Gentoo,225.0,51.1,16.5,5250.0,Biscoe,MALE
Gentoo,226.0,50.8,15.7,5200.0,Biscoe,MALE
Gentoo,228.0,49.1,15.0,5500.0,Biscoe,MALE
Gentoo,228.0,55.9,17.0,5600.0,Biscoe,MALE
Gentoo,228.0,52.2,17.1,5400.0,Biscoe,MALE
Gentoo,228.0,50.8,17.3,5600.0,Biscoe,MALE
Gentoo,229.0,49.5,16.2,5800.0,Biscoe,MALE
Gentoo,229.0,49.8,15.9,5950.0,Biscoe,MALE
Gentoo,230.0,55.1,16.0,5850.0,Biscoe,MALE
Gentoo,230.0,51.5,16.3,5500.0,Biscoe,MALE
Gentoo,230.0,52.1,17.0,5550.0,Biscoe,MALE
Gentoo,230.0,49.8,16.8,5700.0,Biscoe,MALE
Gentoo,230.0,59.6,17.0,6050.0,Biscoe,MALE
Gentoo,230.0,48.6,16.0,5800.0,Biscoe,MALE
Gentoo,230.0,50.0,16.3,5700.0,Biscoe,MALE
Gentoo,231.0,54.3,15.7,5650.0,Biscoe,MALE
Gentoo,210.0,48.7,14.1,4450.0,Biscoe,FEMALE
Gentoo,213.0,48.4,14.6,5850.0,Biscoe,MALE
Gentoo,215.0,45.2,15.8,5300.0,Biscoe,MALE
Adelie,181.0,38.9,17.8,3625.0,Torgersen,FEMALE
Gentoo,215.0,47.2,15.5,4975.0,Biscoe,FEMALE
Gentoo,213.0,49.9,16.1,5400.0,Biscoe,MALE
Chinstrap,187.0,42.5,16.7,3350.0,Dream,FEMALE
Chinstrap,191.0,46.4,17.8,3700.0,Dream,FEMALE
Chinstrap,205.0,52.8,20.0,4550.0,Dream,MALE
Gentoo,222.0,50.4,15.7,5750.0,Biscoe,MALE
Gentoo,210.0,48.2,14.3,4600.0,Biscoe,FEMALE
Gentoo,217.0,46.5,14.8,5200.0,Biscoe,FEMALE
Gentoo,210.0,41.7,14.7,4700.0,Biscoe,FEMALE
Chinstrap,195.0,47.6,18.3,3850.0,Dream,FEMALE
Gentoo,213.0,43.5,15.2,4650.0,Biscoe,FEMALE
Adelie,178.0,39.5,16.7,3250.0,Dream,FEMALE
Chinstrap,202.0,50.2,18.8,3800.0,Dream,MALE
Gentoo,219.0,45.8,14.2,4700.0,Biscoe,FEMALE
Gentoo,220.0,45.5,15.0,5000.0,Biscoe,MALE
Adelie,195.0,42.8,18.5,4250.0,Torgersen,MALE
Adelie,196.0,42.7,18.3,4075.0,Biscoe,MALE
Gentoo,221.0,46.2,14.9,5300.0,Biscoe,MALE
Gentoo,212.0,47.4,14.6,4725.0,Biscoe,FEMALE
Adelie,197.0,45.8,18.9,4150.0,Torgersen,MALE
Gentoo,212.0,47.4,14.6,4725.0,Biscoe,FEMALE
Adelie,190.0,38.9,18.8,3600.0,Dream,FEMALE
Gentoo,225.0,50.5,15.9,5400.0,Biscoe,MALE
Adelie,195.0,42.8,18.5,4250.0,Torgersen,MALE
Gentoo,210.0,45.3,13.7,4300.0,Biscoe,FEMALE
Adelie,181.0,38.1,17.0,3175.0,Biscoe,FEMALE
Chinstrap,178.0,46.1,18.2,3250.0,Dream,FEMALE
Gentoo,226.0,50.8,15.7,5200.0,Biscoe,MALE
Adelie,187.0,40.6,17.2,3475.0,Dream,MALE
Adelie,191.0,41.4,18.6,3700.0,Biscoe,MALE
Gentoo,229.0,49.8,15.9,5950.0,Biscoe,MALE
Chinstrap,201.0,50.8,18.5,4450.0,Dream,MALE
Adelie,182.0,36.5,18.0,3150.0,Dream,FEMALE
Adelie,195.0,35.5,16.2,3350.0,Biscoe,FEMALE
Adelie,193.0,37.9,18.6,2925.0,Biscoe,FEMALE
Adelie,185.0,38.2,18.1,3950.0,Biscoe,MALE
Chinstrap,194.0,45.6,19.4,3525.0,Dream,FEMALE
Adelie,185.0,39.0,18.7,3650.0,Dream,MALE
Adelie,196.0,39.6,17.2,3550.0,Torgersen,FEMALE
Gentoo,221.0,49.2,15.2,6300.0,Biscoe,MALE
Gentoo,222.0,47.3,15.3,5250.0,Biscoe,MALE
Gentoo,231.0,54.3,15.7,5650.0,Biscoe,MALE
Gentoo,230.0,49.8,16.8,5700.0,Biscoe,MALE
Gentoo,212.0,45.2,14.8,5200.0,Biscoe,FEMALE
Gentoo,222.0,46.9,14.6,4875.0,Biscoe,FEMALE
Adelie,196.0,42.7,18.3,4075.0,Biscoe,MALE
Gentoo,214.0,47.2,13.7,4925.0,Biscoe,FEMALE
Gentoo,215.0,46.1,15.1,5100.0,Biscoe,MALE
Gentoo,210.0,48.7,14.1,4450.0,Biscoe,FEMALE
Adelie,197.0,42.5,20.7,4500.0,Torgersen,MALE
Chinstrap,193.0,45.7,17.3,3600.0,Dream,FEMALE
Adelie,193.0,40.6,18.8,3800.0,Biscoe,MALE
Gentoo,222.0,47.3,15.3,5250.0,Biscoe,MALE
Adelie,188.0,39.5,17.8,3300.0,Dream,FEMALE
Adelie,196.0,44.1,19.7,4400.0,Dream,MALE
Adelie,187.0,36.2,16.1,3550.0,Torgersen,FEMALE
Adelie,191.0,40.9,16.8,3700.0,Torgersen,FEMALE
Adelie,180.0,37.7,18.7,3600.0,Biscoe,MALE
Adelie,190.0,39.7,18.4,3900.0,Torgersen,MALE
Gentoo,224.0,49.5,16.1,5650.0,Biscoe,MALE
Adelie,196.0,39.6,17.2,3550.0,Torgersen,FEMALE
Adelie,193.0,39.7,17.9,4250.0,Dream,MALE
Adelie,189.0,38.3,19.2,3950.0,Dream,MALE
Adelie,191.0,38.8,17.6,3275.0,Torgersen,FEMALE
Adelie,190.0,40.7,17.0,3725.0,Dream,MALE
Chinstrap,201.0,50.8,18.5,4450.0,Dream,MALE
Adelie,185.0,34.0,17.1,3400.0,Dream,FEMALE
Adelie,195.0,39.2,19.6,4675.0,Torgersen,MALE
Gentoo,220.0,51.1,16.3,6000.0,Biscoe,MALE
Gentoo,208.0,42.7,13.7,3950.0,Biscoe,FEMALE
Gentoo,216.0,47.7,15.0,4750.0,Biscoe,FEMALE
Adelie,185.0,34.0,17.1,3400.0,Dream,FEMALE
Adelie,182.0,41.1,19.0,3425.0,Dream,MALE
Gentoo,212.0,45.2,14.8,5200.0,Biscoe,FEMALE
Adelie,190.0,39.3,20.6,3650.0,Torgersen,MALE
Gentoo,222.0,48.7,15.1,5350.0,Biscoe,MALE
Gentoo,218.0,47.5,15.0,4950.0,Biscoe,FEMALE
Chinstrap,197.0,52.2,18.8,3450.0,Dream,MALE
Gentoo,224.0,49.5,16.1,5650.0,Biscoe,MALE
Adelie,195.0,36.0,17.8,3450.0,Dream,FEMALE
Gentoo,230.0,48.6,16.0,5800.0,Biscoe,MALE
Adelie,189.0,34.6,17.2,3200.0,Torgersen,FEMALE
Chinstrap,185.0,47.0,17.3,3700.0,Dream,FEMALE
